step,reward,acc,loss,kl,gen,score,train,total
1,0.787,0.625,-7.8812,0.0000,239.5,0.001,4.2,243.7
5,0.475,0.312,-12.0480,0.0211,364.6,0.001,8.5,373.1
10,0.825,0.625,-2.4271,0.1920,201.7,0.000,8.5,210.2
15,0.812,0.625,0.6762,0.2296,177.8,0.000,8.4,186.2
20,0.750,0.562,-3.7840,0.1916,201.7,0.001,8.5,210.2
25,0.562,0.375,-2.4232,0.1471,265.9,0.001,9.1,274.9
30,0.700,0.500,-6.7636,0.1640,271.1,0.001,8.1,279.1
35,0.500,0.312,-9.1772,0.2136,313.6,0.000,9.3,322.9
40,0.550,0.375,-0.7451,0.2659,350.9,0.000,9.3,360.2
45,0.625,0.438,-2.3419,0.2548,333.6,0.000,8.9,342.6
50,0.375,0.188,2.7807,0.2297,252.8,0.000,10.2,263.0
